band,dynamicRange,dataType,nodata value,min,max,mean,std,obj,instid,imgref,date,doy
1.0,0.1428351437207311,6.0,0.0,0.0017196054104715584,0.1445547491312027,0.02916739852496899,0.01623712624246907,5,40014,20110417_225009_r2_scwa__hx,2011-04-17,107
2.0,0.028128022022428922,6.0,0.0,0.00015251555305439976,0.02828053757548332,0.0029447068590290086,0.0016221265163446704,5,40014,20110417_225009_r2_scwa__hx,2011-04-17,107
1.0,0.13428180012851954,6.0,0.0,0.0015864958986639974,0.13586829602718353,0.029383513142638245,0.016400800200247714,7,40014,20110417_225009_r2_scwa__hx,2011-04-17,107
2.0,0.02136637156945653,6.0,0.0,0.0002786509867291897,0.021645022556185722,0.0030749210034401796,0.0018082352304773835,7,40014,20110417_225009_r2_scwa__hx,2011-04-17,107
1.0,0.17692903103306887,6.0,0.0,0.0040503996424376965,0.18097943067550654,0.032512112570346405,0.014280265137641737,9,40014,20110417_225009_r2_scwa__hx,2011-04-17,107
2.0,0.011465677845990284,6.0,0.0,0.0002880284155253321,0.011753706261515617,0.003143036532354074,0.0012966436767389265,9,40014,20110417_225009_r2_scwa__hx,2011-04-17,107
1.0,0.1238252972252667,6.0,0.0,0.0030915732495486736,0.12691687047481534,0.03516549821888713,0.015645016558310364,11,40021,20110712_224147_r2_scwa__hh,2011-07-12,193
1.0,0.07861757511273025,6.0,0.0,0.00240488862618804,0.0810224637389183,0.021559842727890667,0.009170058312170968,13,40019,20110712_224147_r2_scwa__hh,2011-07-12,193
1.0,0.07401499361731112,6.0,0.0,0.0025587209966033697,0.0765737146139145,0.022408172784312123,0.009383976372465887,1,40024,20110712_224147_r2_scwa__hh,2011-07-12,193
1.0,0.09073174418881537,6.0,0.0,0.001479234080761671,0.09221097826957703,0.023486799096697583,0.010420557859544577,17,40017,20110712_224147_r2_scwa__hh,2011-07-12,193
1.0,0.0796793196350336,6.0,0.0,0.002610107883810997,0.08228942751884462,0.02273565093785299,0.010464224915575302,21,40016,20110712_224147_r2_scwa__hh,2011-07-12,193
1.0,0.08625760185532272,6.0,0.0,0.00198044371791184,0.08823804557323456,0.024769998718312827,0.010918971341486436,25,40016,20110712_224147_r2_scwa__hh,2011-07-12,193
1.0,0.1451477319933474,6.0,0.0,0.0024103759787976737,0.1475581079721451,0.03083903932698893,0.013230311627801698,3,40024,20110712_224147_r2_scwa__hh,2011-07-12,193
1.0,0.15116850286722183,6.0,0.0,0.004095770418643952,0.1552642732858658,0.03905354658385134,0.01671454212977942,5,40021,20110712_224147_r2_scwa__hh,2011-07-12,193
1.0,0.13615017244592306,6.0,0.0,0.0049374192021787175,0.1410875916481018,0.04265309955395954,0.01797013980609717,7,40021,20110712_224147_r2_scwa__hh,2011-07-12,193
1.0,0.15514293173328042,6.0,0.0,0.005797223653644324,0.16094015538692472,0.04910257628901311,0.020373362045685007,9,40021,20110712_224147_r2_scwa__hh,2011-07-12,193
1.0,0.6062587593914941,6.0,0.0,0.00032191525679081673,0.6065806746482849,0.11131207067809401,0.07676006535104479,1,40017,20110720_220853_r2_scwa__hh,2011-07-20,201
1.0,0.3001499314123066,6.0,0.0,0.00018771101895254105,0.30033764243125916,0.04424082379318169,0.042716467327046335,3,40017,20110720_220853_r2_scwa__hh,2011-07-20,201
1.0,0.05872531514614821,6.0,0.0,0.0012132944539189339,0.05993860960006714,0.01274573530382402,0.005839875525814606,11,40023,20110729_224541_r2_scwa__hh,2011-07-29,210
1.0,0.04854217264801264,6.0,0.0,0.0014588190242648125,0.050000991672277444,0.01162545215543907,0.0051771994387787,13,40021,20110729_224541_r2_scwa__hh,2011-07-29,210
1.0,0.008731980706215836,6.0,0.0,0.00016525025421287864,0.008897230960428713,0.002342418349193241,0.0010920653685593065,1,40026,20110729_224541_r2_scwa__hh,2011-07-29,210
1.0,0.07184271630831063,6.0,0.0,0.002546085743233561,0.07438880205154419,0.019697956485087154,0.008234191942420406,17,40019,20110729_224541_r2_scwa__hh,2011-07-29,210
1.0,0.13123064278624952,6.0,0.0,0.003042275318875909,0.13427291810512543,0.03476991110549993,0.015072192961793941,21,40018,20110729_224541_r2_scwa__hh,2011-07-29,210
1.0,0.14788366714492443,6.0,0.0,0.005824388470500708,0.1537080556154251,0.037913971702351286,0.016762447700466983,25,40018,20110729_224541_r2_scwa__hh,2011-07-29,210
1.0,0.30738812271738425,6.0,0.0,0.00016963895177468655,0.3075577616691589,0.005839960561170195,0.01166553304400946,3,40026,20110729_224541_r2_scwa__hh,2011-07-29,210
